1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
W 7200  646  615 -1080
R 7200 -589  544 -1630
W 7220  646  615 -1080
R 7220 -589  544 -1630
W 7240  646  615 -1080
R 7240 -589  544 -1630
W 7260  646  615 -1080
R 7260 -589  544 -1630
W 7280  646  615 -1080
R 7280 -589  544 -1630
W 7300  646  615 -1080
R 7300 -589  544 -1630
W 7320  646  615 -1080
R 7320 -589  544 -1630
W 7340  646  615 -1080
R 7340 -589  544 -1630
W 7360  646  615 -1080
R 7360 -589  544 -1630
W 7380  646  615 -1080
R 7380 -589  544 -1630
W 7400  646  615 -1080
R 7400 -589  544 -1630
W 7420  646  615 -1080
R 7420 -589  544 -1630
W 7440  646  615 -1080
R 7440 -589  544 -1630
W 7460  646  615 -1080
R 7460 -589  544 -1630
W 7480  646  615 -1080
R 7480 -589  544 -1630
W 7500  646  615 -1080
R 7500 -589  544 -1630
W 7520  646  615 -1080
R 7520 -589  544 -1630
W 7540  646  615 -1080
R 7540 -589  544 -1630
W 7560  646  615 -1080
R 7560 -589  544 -1630
W 7580  646  615 -1080
R 7580 -589  544 -1630
W 7600  646  615 -1080
R 7600 -589  544 -1630
W 7620  646  615 -1080
R 7620 -589  544 -1630
W 7640  646  615 -1080
R 7640 -589  544 -1630
W 7660  646  615 -1080
R 7660 -589  544 -1630
W 7680  646  615 -1080
R 7680 -589  544 -1630
W 7700  646  615 -1080
R 7700 -589  544 -1630
W 7720  646  615 -1080
R 7720 -589  544 -1630
W 7740  646  615 -1080
R 7740 -589  544 -1630
W 7760  646  615 -1080
R 7760 -589  544 -1630
W 7780  646  615 -1080
R 7780 -589  544 -1630
W 7800  646  615 -1080
R 7800 -589  544 -1630
W 7820  646  615 -1080
R 7820 -589  544 -1630
W 7840  646  615 -1080
R 7840 -589  544 -1630
W 7860  646  615 -1080
R 7860 -589  544 -1630
W 7880  646  615 -1080
R 7880 -589  544 -1630
W 7900  646  615 -1080
R 7900 -589  544 -1630
W 7920  646  615 -1080
R 7920 -589  544 -1630
W 7940  646  615 -1080
R 7940 -589  544 -1630
W 7960  646  615 -1080
R 7960 -589  544 -1630
W 7980  646  615 -1080
R 7980 -589  544 -1630
W 8000  646  615 -1080
R 8000 -589  544 -1630
W 8020  646  615 -1080
R 8020 -589  544 -1630
W 8040  646  615 -1080
R 8040 -589  544 -1630
W 8060  646  615 -1080
R 8060 -589  544 -1630
W 8080  646  615 -1080
R 8080 -589  544 -1630
W 8100  646  615 -1080
R 8100 -589  544 -1630
W 8120  646  615 -1080
R 8120 -589  544 -1630
W 8140  646  615 -1080
R 8140 -589  544 -1630
W 8160  646  615 -1080
R 8160 -589  544 -1630
W 8180  646  615 -1080
R 8180 -589  544 -1630
W 8200  646  615 -1080
R 8200 -589  544 -1630
W 8220  646  615 -1080
R 8220 -589  544 -1630
W 8240  646  615 -1080
R 8240 -589  544 -1630
W 8260  646  615 -1080
R 8260 -589  544 -1630
W 8280  646  615 -1080
R 8280 -589  544 -1630
W 8300  646  615 -1080
R 8300 -589  544 -1630
W 8320  646  615 -1080
R 8320 -589  544 -1630
W 8340  646  615 -1080
R 8340 -589  544 -1630
W 8360  646  615 -1080
R 8360 -589  544 -1630
W 8380  646  615 -1080
R 8380 -589  544 -1630
W 8400  646  615 -1080
R 8400 -589  544 -1630
W 8420  646  615 -1080
R 8420 -589  544 -1630
W 8440  646  615 -1080
R 8440 -589  544 -1630
W 8460  646  615 -1080
R 8460 -589  544 -1630
W 8480  646  615 -1080
R 8480 -589  544 -1630
W 8500  646  615 -1080
R 8500 -589  544 -1630
W 8520  646  615 -1080
R 8520 -589  544 -1630
W 8540  646  615 -1080
R 8540 -589  544 -1630
W 8560  646  615 -1080
R 8560 -589  544 -1630
W 8580  646  615 -1080
R 8580 -589  544 -1630
